best_iter,cols,comment,date_time,feature_imp,lBSCore,model_file,train_acc,valid_acc
496,"['app', 'device', 'os', 'channel', 'hour', 'day', 'IN_TEST_HH', 'IP_DAY_TEST_HH', 'IP_DAY_HH', 'IP_OS_HH', 'IP_APP_HH', 'IP_APP_OS_HH', 'APP_DAY_HH']","1M, andys features,specific hours",2018-04-11 18:56:47.435974,,,,0.9975622649035232,0.9975622649035232
46,"['app', 'device', 'os', 'channel', 'hour', 'day', 'IN_TEST_HH', 'IP_DAY_TEST_HH', 'IP_DAY_HH', 'IP_OS_HH', 'IP_APP_HH', 'IP_APP_OS_HH', 'APP_DAY_HH']","1M,andys features,specific hours_valid_hr_is_test_hr",2018-04-12 11:53:21.394388,"[('channel', 80), ('app', 73), ('os', 49), ('IP_DAY_TEST_HH', 30), ('hour', 28), ('APP_DAY_HH', 14), ('IP_DAY_HH', 2), ('IP_OS_HH', 0), ('IP_APP_OS_HH', 0), ('day', 0), ('IP_APP_HH', 0), ('device', 0), ('IN_TEST_HH', 0)]",Unknown,eda/models/sample_run/model_valid_hr_is_test_hr,0.9773352918979512,0.9530360361858689
46,"['app', 'device', 'os', 'channel', 'hour', 'day', 'IN_TEST_HH', 'IP_DAY_TEST_HH', 'IP_DAY_HH', 'IP_OS_HH', 'IP_APP_HH', 'IP_APP_OS_HH', 'APP_DAY_HH']","Added perc IP_Added perc IP1M,andys features,specific hours_valid_hr_is_test_hr",2018-04-12 21:29:50.820867,"[('channel', 80), ('app', 73), ('os', 49), ('IP_DAY_TEST_HH', 30), ('hour', 28), ('APP_DAY_HH', 14), ('IP_DAY_HH', 2), ('IP_OS_HH', 0), ('IP_APP_OS_HH', 0), ('day', 0), ('IP_APP_HH', 0), ('device', 0), ('IN_TEST_HH', 0)]",Unknown,eda/models/sample_run/model_valid_hr_is_test_hr,0.9773352918979512,0.9530360361858689
84,"['IP_OS_HH', 'perc_ip', 'os', 'IP_APP_OS_HH', 'IP_DAY_HH', 'day', 'minute', 'IP_APP_HH', 'app', 'hour', 'IP_DAY_TEST_HH', 'channel', 'IN_TEST_HH', 'APP_DAY_HH', 'device']",Added perc IP_add_perc_ip_non_fraud,2018-04-12 21:37:01.333789,"[('channel', 180), ('os', 93), ('app', 86), ('hour', 70), ('IP_DAY_TEST_HH', 35), ('APP_DAY_HH', 20), ('minute', 8), ('device', 5), ('perc_ip', 2), ('IP_APP_OS_HH', 2), ('day', 1), ('IP_DAY_HH', 1), ('IP_APP_HH', 1), ('IP_OS_HH', 0), ('IN_TEST_HH', 0)]",Unknown,eda/models/sample_run/modeladd_perc_ip_non_fraud,0.9854101686002695,0.9547407937624217
